"","x"
"1",13083.855
"2",13129.792
"3",14396.31
"4",13024.94
"5",14250.002
"6",14279.078
"7",14858.313
"8",13271.272
"9",13964.26
"10",14621.942
"11",15703.44
"12",16435.8
"13",11765.319
"14",13402.43
"15",14450.943
"16",13453.444
"17",11727.552
"18",10888.34
"19",11331.863
"20",10133.327
"21",10109.129
"22",10271.93
"23",12267.608
"24",10675.17
"25",10595.601
"26",13739.753
"27",13272.029
"28",16528.456
"29",12268.738
"30",11501.309
"31",13054.397
"32",16558.486
"33",22410.613
"34",26150.3362
"35",25316.0774
"36",20426.7748
"37",20393.31
"38",24777.8183
"39",25385.0636
"40",26051.452
"41",23820.124
"42",21378.625
"43",17017.288
"44",17553.476
"45",19467.507
"46",18760.45
"47",20721.126
"48",20956.797
"49",21312.7
"50",20442.467
"51",21760.77
"52",21741.87
"53",24015.22
"54",25039.51
"55",22403.211
"56",20002.41
"57",19969.011
"58",18526.7
"59",17790.173
"60",19215.98
"61",16475.145
"62",15312.963
"63",11444.03
"64",13904.43
"65",13713.06
"66",12881.775
"67",13897.423
"68",13388.241
"69",13758.478
"70",14511.027
"71",13136.508
"72",14391.696
"73",13672.178
"74",19711.79
"75",22501.472
"76",27321.193
"77",26946.621
"78",24135.23
"79",25898.442
"80",27172.169
"81",33185.115
"82",30764.713
"83",26644.693
"84",23360.069
"85",13491.536
"86",13868.691
"87",15491.101
"88",15045
"89",15770.059
"90",16009.241
"91",17075.291
"92",16418.301
"93",17139.51
"94",17940.813
"95",18810.45
"96",19744.77
"97",19797.49
"98",18454.62
"99",14747.034
"100",13479.955
"101",13744.229
"102",17458.701
"103",12068.426
"104",12207.252
"105",10227.961
"106",11892.32
"107",11860.795
"108",8954.249
"109",11770.51
"110",11238.47
"111",12773.088
"112",12258.369
"113",10379.1
"114",12973.623
"115",13665.697
"116",16430.681
"117",22034.9
"118",27109.519
"119",20080.406
"120",21635.189
"121",24666.103
"122",24004.005
"123",30864.055
"124",28175.564
"125",23987.997
"126",23660.04
"127",10679.042
"128",10694.42
"129",12253.708
"130",11922.325
"131",12097.565
"132",12372.808
"133",13468.844
"134",12551.724
"135",12361.109
"136",13508.516
"137",13966.07
"138",14602.32
"139",15030.04
"140",11557.227
"141",10756.543
"142",9964.226
"143",11729.013
"144",15044.985
"145",9864.111
"146",9650.915
"147",10074.658
"148",11924.798
"149",8379.354
"150",8646.206
"151",11251.372
"152",11037.37
"153",10966.659
"154",10175.152
"155",10230.368
"156",11246.595
"157",14020.019
"158",17591.169
"159",20928.678
"160",22150.498
"161",21736.649
"162",21378.894
"163",25098.865
"164",24401.656
"165",28247
"166",23942.877
"167",20726.512
"168",19171.349
