"","year","season","tons","cat"
"1",1978,1,12292,"landings"
"2",1978,2,15636,"landings"
"3",1978,3,12601,"landings"
"4",1978,4,10022,"landings"
"5",1979,1,12181,"landings"
"6",1979,2,15949,"landings"
"7",1979,3,12929,"landings"
"8",1979,4,10037,"landings"
"9",1980,1,13506,"landings"
"10",1980,2,17845,"landings"
"11",1980,3,14455,"landings"
"12",1980,4,11459,"landings"
"13",1981,1,12150,"landings"
"14",1981,2,17051,"landings"
"15",1981,3,13830,"landings"
"16",1981,4,10887,"landings"
"17",1982,1,12488,"landings"
"18",1982,2,17560,"landings"
"19",1982,3,14002,"landings"
"20",1982,4,10944,"landings"
"21",1983,1,12907,"landings"
"22",1983,2,18473,"landings"
"23",1983,3,14603,"landings"
"24",1983,4,11524,"landings"
"25",1984,1,14176,"landings"
"26",1984,2,20126,"landings"
"27",1984,3,16207,"landings"
"28",1984,4,12777,"landings"
"29",1985,1,12044,"landings"
"30",1985,2,18226,"landings"
"31",1985,3,14842,"landings"
"32",1985,4,10987,"landings"
"33",1986,1,12021,"landings"
"34",1986,2,18311,"landings"
"35",1986,3,15407,"landings"
"36",1986,4,11353,"landings"
"37",1987,1,13705,"landings"
"38",1987,2,20069,"landings"
"39",1987,3,16901,"landings"
"40",1987,4,12694,"landings"
"41",1988,1,13805,"landings"
"42",1988,2,20739,"landings"
"43",1988,3,17360,"landings"
"44",1988,4,12919,"landings"
"45",1989,1,14343,"landings"
"46",1989,2,21346,"landings"
"47",1989,3,17650,"landings"
"48",1989,4,13134,"landings"
"49",1990,1,10438,"landings"
"50",1990,2,19180,"landings"
"51",1990,3,17509,"landings"
"52",1990,4,12827,"landings"
"53",1991,1,12268,"landings"
"54",1991,2,18138,"landings"
"55",1991,3,16938,"landings"
"56",1991,4,10785,"landings"
"57",1992,1,13436,"landings"
"58",1992,2,18382,"landings"
"59",1992,3,14436,"landings"
"60",1992,4,10363,"landings"
"61",1993,1,12375,"landings"
"62",1993,2,16929,"landings"
"63",1993,3,13295,"landings"
"64",1993,4,9545,"landings"
"65",1994,1,11034,"landings"
"66",1994,2,16260,"landings"
"67",1994,3,12837,"landings"
"68",1994,4,11128,"landings"
"69",1995,1,10158,"landings"
"70",1995,2,17482,"landings"
"71",1995,3,16006,"landings"
"72",1995,4,13975,"landings"
"73",1996,1,10892,"landings"
"74",1996,2,15455,"landings"
"75",1996,3,11410,"landings"
"76",1996,4,9453,"landings"
"77",1997,1,9209,"landings"
"78",1997,2,13643,"landings"
"79",1997,3,10912,"landings"
"80",1997,4,8701,"landings"
"81",1998,1,8440,"landings"
"82",1998,2,9491,"landings"
"83",1998,3,8620,"landings"
"84",1998,4,8509,"landings"
"85",1999,1,8477,"landings"
"86",1999,2,11001,"landings"
"87",1999,3,10025,"landings"
"88",1999,4,10311,"landings"
"89",2000,1,11094,"landings"
"90",2000,2,12384,"landings"
"91",2000,3,10790,"landings"
"92",2000,4,7758,"landings"
"93",2001,1,9714,"landings"
"94",2001,2,11417,"landings"
"95",2001,3,7931,"landings"
"96",2001,4,7613,"landings"
"97",2002,1,8956,"landings"
"98",2002,2,11432,"landings"
"99",2002,3,9811,"landings"
"100",2002,4,9908,"landings"
"101",2003,1,11890,"landings"
"102",2003,2,11511,"landings"
"103",2003,3,9813,"landings"
"104",2003,4,9948,"landings"
"105",2004,1,12125,"landings"
"106",2004,2,12432,"landings"
"107",2004,3,12010,"landings"
"108",2004,4,9850,"landings"
"109",2005,1,14612,"landings"
"110",2005,2,12440,"landings"
"111",2005,3,10630,"landings"
"112",2005,4,8868,"landings"
"113",2006,1,11156,"landings"
"114",2006,2,11837,"landings"
"115",2006,3,9289,"landings"
"116",2006,4,9185,"landings"
"117",2007,1,10359,"landings"
"118",2007,2,13011,"landings"
"119",2007,3,11635,"landings"
"120",2007,4,10023,"landings"
"121",2008,1,11524,"landings"
"122",2008,2,11777,"landings"
"123",2008,3,12031,"landings"
"124",2008,4,12407,"landings"
"125",2009,1,13955,"landings"
"126",2009,2,15657,"landings"
"127",2009,3,13641,"landings"
"128",2009,4,15565,"landings"
"129",2010,1,18558,"landings"
"130",2010,2,18105,"landings"
"131",2010,3,18269,"landings"
"132",2010,4,17867,"landings"
"133",2011,1,22438,"landings"
"134",2011,2,22652,"landings"
"135",2011,3,22715,"landings"
"136",2011,4,19735,"landings"
"137",2012,1,23146,"landings"
"138",2012,2,24341,"landings"
"139",2012,3,18304,"landings"
"140",2012,4,19886,"landings"
"141",2013,1,18609,"landings"
"142",2013,2,20911,"landings"
"143",2013,3,19138,"landings"
"144",2013,4,19095,"landings"
"145",2014,1,19668,"landings"
"146",2014,2,24035,"landings"
"147",2014,3,22793,"landings"
"148",2014,4,23444,"landings"
"149",2015,1,23459,"landings"
"150",2015,2,24481,"landings"
"151",2015,3,22611,"landings"
"152",2015,4,23119,"landings"
"153",2016,1,24079,"landings"
"154",2016,2,30421,"landings"
"155",2016,3,27818,"landings"
"156",2016,4,26788,"landings"
"157",2017,1,25375,"landings"
"158",2017,2,29455,"landings"
"159",2017,3,27186,"landings"
"160",2017,4,22655,"landings"
"161",2018,1,22695,"landings"
"162",2018,2,25358,"landings"
"163",2018,3,22322,"landings"
"164",2018,4,19296,"landings"
"165",2019,1,20720.3383,"landings"
"166",2019,2,21813.4464,"landings"
"167",2019,3,22015.5369,"landings"
"168",2019,4,17748.7429,"landings"
